ID,mean_semi_loc_coh_sif,mean_semi_loc_coh_bert,mean_semi_loc_coh_elmo,max_semi_loc_coh_sif,max_semi_loc_coh_bert,max_semi_loc_coh_elmo,min_semi_loc_coh_sif,min_semi_loc_coh_bert,min_semi_loc_coh_elmo,mean_loc_coh_sif,mean_loc_coh_bert,mean_loc_coh_elmo,max_loc_coh_sif,max_loc_coh_bert,max_loc_coh_elmo,min_loc_coh_sif,min_loc_coh_bert,min_loc_coh_elmo,mean_glob_coh_sif,mean_glob_coh_bert,mean_glob_coh_elmo,max_glob_coh_sif,max_glob_coh_bert,max_glob_coh_elmo,min_glob_coh_sif,min_glob_coh_bert,min_glob_coh_elmo,mean_control_glob_coh_sif,mean_control_glob_coh_bert,mean_control_glob_coh_elmo,max_control_glob_coh_sif,max_control_glob_coh_bert,max_control_glob_coh_elmo,min_control_glob_coh_sif,min_control_glob_coh_bert,min_control_glob_coh_elmo,mean_cum_coh_sif,mean_cum_coh_bert,mean_cum_coh_elmo,max_cum_coh_sif,max_cum_coh_bert,max_cum_coh_elmo,min_cum_coh_sif,min_cum_coh_bert,min_cum_coh_elmo
H01,0.2578079616282695,0.8869057297706604,0.5832768678665161,0.8773440428812253,0.9375120401382446,0.8506405353546143,-0.16168002106873205,0.8020257353782654,0.09982872009277344,0.2578079616282695,0.8869057297706604,0.5832768678665161,0.8773440428812253,0.9375120401382446,0.8506405353546143,-0.16168002106873205,0.8020257353782654,0.09982872009277344,0.2618462150743806,0.8940760493278503,0.6035032868385315,0.5106181010492064,0.9321682453155518,0.8268194198608398,-0.17074304746197683,0.8210354447364807,0.14968837797641754,0.26204508043525176,0.8939288258552551,0.5995815396308899,0.5131527233005823,0.931638240814209,0.8229921460151672,-0.15525047243299017,0.8170899748802185,0.13511362671852112,-0.11672202500127495,0.7375564575195312,0.22127807140350342,0.0679299687569165,0.8241881132125854,0.46697860956192017,-0.2715266472759702,0.6759649515151978,-0.007806410547345877
H02,0.33446670174916876,0.8609393239021301,0.48803508281707764,0.7068982729662396,0.9008401036262512,0.5485650300979614,0.014511666127357579,0.822035551071167,0.3955160081386566,0.33446670174916876,0.8609393239021301,0.48803508281707764,0.7068982729662396,0.9008401036262512,0.5485650300979614,0.014511666127357579,0.822035551071167,0.3955160081386566,0.4098398051816455,0.9122124910354614,0.6738484501838684,0.6056580373753963,0.929247260093689,0.7336951494216919,-0.09927792339153721,0.8899826407432556,0.5705466270446777,0.40833048754194146,0.9106113910675049,0.6667068004608154,0.6291375316951413,0.9273388981819153,0.730769693851471,-0.10623961696578592,0.8873850703239441,0.5680307149887085,0.17169531905471788,0.822115957736969,0.3474503755569458,0.34231772160082313,0.8565055727958679,0.3955160081386566,-0.10922193059057853,0.7878067493438721,0.30523768067359924
H03,0.20036199672495353,0.8925741314888,0.6141631007194519,0.9999626286344168,0.9393298625946045,0.7625460624694824,-0.14724358463397125,0.7198674082756042,0.35120874643325806,0.20036199672495353,0.8925741314888,0.6141631007194519,0.9999626286344168,0.9393298625946045,0.7625460624694824,-0.14724358463397125,0.7198674082756042,0.35120874643325806,0.2958883322498283,0.903847873210907,0.6559066772460938,0.7612093669102089,0.9387972950935364,0.7754096984863281,-0.19563710609563603,0.7591433525085449,0.4327417016029358,0.2901641672601102,0.9036206603050232,0.6535135507583618,0.7752912749744705,0.9400193691253662,0.7693318724632263,-0.2162120506549331,0.7541424036026001,0.4392946660518646,-0.1483068324553629,0.7027286887168884,0.29081353545188904,0.9999626286344168,0.8580200672149658,0.5391578674316406,-0.2943088028131827,0.6086782217025757,0.10016471892595291
H04,0.18745095026348219,0.8933798670768738,0.6004616022109985,0.6857390380448388,0.9344866275787354,0.7579028606414795,-0.2321496784621379,0.7414778470993042,0.3352167010307312,0.18745095026348219,0.8933798670768738,0.6004616022109985,0.6857390380448388,0.9344866275787354,0.7579028606414795,-0.2321496784621379,0.7414778470993042,0.3352167010307312,0.21652252403898686,0.8975260853767395,0.619858980178833,0.7487380347296081,0.9327141046524048,0.7872844338417053,-0.2958170482981571,0.7576984167098999,0.3885456621646881,0.2113608847321204,0.8977511525154114,0.6144025325775146,0.7669506885781803,0.9328609704971313,0.7867704629898071,-0.3213206395987024,0.7540412545204163,0.37717610597610474,-0.20072186666189004,0.6864016652107239,0.2284654676914215,-0.023217763949036956,0.8285671472549438,0.3662206530570984,-0.45517058508683794,0.5700151920318604,0.1260756105184555
H05,0.18585801775572797,0.883378267288208,0.6511523127555847,0.5725873500709212,0.9260714650154114,0.7903257012367249,-0.25000549185349435,0.7311598658561707,0.3878808319568634,0.18585801775572797,0.883378267288208,0.6511523127555847,0.5725873500709212,0.9260714650154114,0.7903257012367249,-0.25000549185349435,0.7311598658561707,0.3878808319568634,0.23958513046850902,0.8917269110679626,0.6688594818115234,0.7245276294652033,0.9336369633674622,0.8117939233779907,-0.32408139497560123,0.7701454758644104,0.43606066703796387,0.23043840542042515,0.8901814222335815,0.6609494090080261,0.738168450179187,0.9336918592453003,0.820329487323761,-0.35089035111244826,0.7674583792686462,0.43282946944236755,-0.21625965593943344,0.6935276389122009,0.30909809470176697,-0.08476410129428218,0.7863783836364746,0.45599642395973206,-0.39268335367814755,0.5717740058898926,0.19779923558235168
H06,0.20945170646994268,0.8879444003105164,0.5972166657447815,0.5612671436007901,0.9240058064460754,0.7182822227478027,-0.010714815887447339,0.8140344619750977,0.43429556488990784,0.20945170646994268,0.8879444003105164,0.5972166657447815,0.5612671436007901,0.9240058064460754,0.7182822227478027,-0.010714815887447339,0.8140344619750977,0.43429556488990784,0.28249922811798744,0.9002724885940552,0.6449251770973206,0.7555614248814354,0.9343298673629761,0.7718843221664429,-0.19269695396089617,0.8095476031303406,0.4720610976219177,0.2731410223582395,0.899067223072052,0.6441987752914429,0.7782915952053556,0.9330670833587646,0.7608438730239868,-0.24666542244699333,0.8045504093170166,0.47994861006736755,-0.11505685947237394,0.7790426015853882,0.3388388752937317,0.15309502920425014,0.870590329170227,0.5015110373497009,-0.251775988754907,0.6999771595001221,0.23722562193870544
H07,0.2943273461371075,0.8767254948616028,0.6173063516616821,0.7424044436586893,0.9297772645950317,0.7664365172386169,-0.13462688070854512,0.7905455827713013,0.46241334080696106,0.2943273461371075,0.8767254948616028,0.6173063516616821,0.7424044436586893,0.9297772645950317,0.7664365172386169,-0.13462688070854512,0.7905455827713013,0.46241334080696106,0.38079050357584276,0.8920316100120544,0.6536221504211426,0.741905098354852,0.9278194308280945,0.7835583090782166,0.012646392994950162,0.7880972623825073,0.4820058345794678,0.3808055395446202,0.8912703394889832,0.6537021994590759,0.7654804787697812,0.9293648600578308,0.7750679850578308,0.0035636268347787885,0.7870175838470459,0.4861585795879364,-0.059394957796085585,0.71323162317276,0.34249818325042725,0.39022316984559896,0.8894505500793457,0.6606950163841248,-0.3167226275698115,0.6332560181617737,0.19580549001693726
H08,0.2314389945418495,0.8832155466079712,0.5994791984558105,0.9999995047406295,0.9321950674057007,0.7281367778778076,-0.30502633495253406,0.7341633439064026,0.41671377420425415,0.2314389945418495,0.8832155466079712,0.5994791984558105,0.9999995047406295,0.9321950674057007,0.7281367778778076,-0.30502633495253406,0.7341633439064026,0.41671377420425415,0.27582543717421876,0.8938786387443542,0.6384796500205994,0.7359144541416622,0.9349334836006165,0.7678261399269104,-0.3606117043028434,0.7421700954437256,0.4124806821346283,0.27143318715639475,0.8930423855781555,0.6340166926383972,0.7601391595458885,0.9344837069511414,0.777934193611145,-0.3806868966025464,0.7424454092979431,0.40188902616500854,-0.09676754494218953,0.7208523750305176,0.3090037405490875,0.9999995047406295,0.9094258546829224,0.6503350138664246,-0.37283937203729406,0.5834689736366272,0.1740729659795761
H09,0.13255097258094048,0.859514057636261,0.49946194887161255,0.4976283418529659,0.915794849395752,0.6114591956138611,-0.05077485966681677,0.7880516052246094,0.3656800091266632,0.13255097258094048,0.859514057636261,0.49946194887161255,0.4976283418529659,0.915794849395752,0.6114591956138611,-0.05077485966681677,0.7880516052246094,0.3656800091266632,0.3191545609066016,0.893286943435669,0.6013606190681458,0.7067563176696219,0.928985595703125,0.7662801146507263,-0.13639277091054378,0.8094441294670105,0.47503960132598877,0.3133315878481052,0.892599880695343,0.5988574624061584,0.6961930001845006,0.9272982478141785,0.7626022100448608,-0.15196498895004779,0.803545355796814,0.4824746251106262,-0.11478536032322176,0.7260736227035522,0.268146276473999,-0.04703857726253983,0.7894592881202698,0.37562114000320435,-0.2794654450749494,0.6213163137435913,0.17753401398658752
H10,0.1493962460280351,0.8944712281227112,0.6018525958061218,0.46423006710211495,0.9290724992752075,0.7754437923431396,-0.1998864402993198,0.7628116607666016,0.28979092836380005,0.1493962460280351,0.8944712281227112,0.6018525958061218,0.46423006710211495,0.9290724992752075,0.7754437923431396,-0.1998864402993198,0.7628116607666016,0.28979092836380005,0.2460572748008865,0.9062186479568481,0.6492534875869751,0.7581207177396131,0.9317811131477356,0.786313533782959,-0.19528089947694466,0.7794333696365356,0.4565872848033905,0.23905550214456692,0.9052844643592834,0.6425726413726807,0.7821588170529551,0.930321216583252,0.781965970993042,-0.22040539926861696,0.7732556462287903,0.44405776262283325,-0.17196187911969785,0.768314778804779,0.28024739027023315,0.08839135868959996,0.8235177397727966,0.36237767338752747,-0.40720302491435656,0.6536573767662048,0.23609711229801178
H11,0.15821472790805904,0.8817763328552246,0.5900789499282837,0.5271482918444507,0.9275844097137451,0.7407146096229553,-0.21803994015332298,0.7351692318916321,0.2710649371147156,0.15821472790805904,0.8817763328552246,0.5900789499282837,0.5271482918444507,0.9275844097137451,0.7407146096229553,-0.21803994015332298,0.7351692318916321,0.2710649371147156,0.24191835336995202,0.8989039659500122,0.6304774880409241,0.7356514249147205,0.9318503737449646,0.798822283744812,-0.2845008939889934,0.7896226048469543,0.28522709012031555,0.23769615643531714,0.8981115221977234,0.6285051703453064,0.7578666686682478,0.9325995445251465,0.7876192331314087,-0.3109262791441995,0.7845265865325928,0.2862369120121002,-0.1546839302669388,0.7100089192390442,0.26619067788124084,0.32700451413837,0.8146581649780273,0.6389960646629333,-0.406306247883533,0.646388828754425,0.07870149612426758
H12,0.09502321605212805,0.8886151909828186,0.5945547819137573,0.3620545137778475,0.9318925142288208,0.7399305701255798,-0.2941714671662705,0.7294056415557861,0.32129353284835815,0.09502321605212805,0.8886151909828186,0.5945547819137573,0.3620545137778475,0.9318925142288208,0.7399305701255798,-0.2941714671662705,0.7294056415557861,0.32129353284835815,0.14800474889331922,0.8955090641975403,0.6246200203895569,0.6598048198595653,0.9339221715927124,0.7399377226829529,-0.42761174181975364,0.7529072165489197,0.32081714272499084,0.139454840165656,0.89487224817276,0.616647481918335,0.662517969034706,0.9328855276107788,0.746260404586792,-0.4371268100435591,0.7475066184997559,0.32558080554008484,-0.2206546790553139,0.7131150960922241,0.20233163237571716,-0.060764918725432764,0.8221014738082886,0.45558249950408936,-0.3397007808737553,0.5759928226470947,0.059341397136449814
H13,0.2564735341318713,0.890182614326477,0.6235522031784058,0.49055104353801066,0.9283617734909058,0.7589482665061951,-0.25532861276423463,0.8067556619644165,0.42720356583595276,0.2564735341318713,0.890182614326477,0.6235522031784058,0.49055104353801066,0.9283617734909058,0.7589482665061951,-0.25532861276423463,0.8067556619644165,0.42720356583595276,0.3133355051609215,0.9060457348823547,0.6728061437606812,0.691932837586418,0.9300652742385864,0.7938232421875,-0.25290622284316594,0.8330599069595337,0.49267518520355225,0.30274351572539276,0.9060444831848145,0.6719998121261597,0.7141237414778226,0.9325629472732544,0.8064364790916443,-0.2532160558439209,0.8304696083068848,0.49050065875053406,-0.09863187162837185,0.7787156105041504,0.3611964285373688,0.3894280612195612,0.8545866012573242,0.5774564743041992,-0.29246131475604686,0.6462153792381287,0.24860161542892456
H14,0.3165872588956794,0.8755386471748352,0.5477950572967529,0.7883403093796957,0.925211489200592,0.7433651685714722,-0.11246995108045904,0.7603103518486023,0.2510554790496826,0.3165872588956794,0.8755386471748352,0.5477950572967529,0.7883403093796957,0.925211489200592,0.7433651685714722,-0.11246995108045904,0.7603103518486023,0.2510554790496826,0.4058573948644747,0.8966019749641418,0.6008138656616211,0.8065335571588743,0.9308596849441528,0.7730136513710022,-0.07035675992504331,0.8080347776412964,0.27035725116729736,0.40365131817107214,0.8978214263916016,0.6025857925415039,0.8121619750822305,0.9317313432693481,0.7771549820899963,-0.08269890036168433,0.803368091583252,0.2678661644458771,-0.04778049515313452,0.7044392228126526,0.2825835943222046,0.3658685373229887,0.829053521156311,0.5374659895896912,-0.18733104079161916,0.5915160775184631,0.10385221242904663
H15,0.2534856110341809,0.8909156918525696,0.635868489742279,0.695344996389316,0.9283664226531982,0.77191162109375,-0.35070657108188236,0.7436315417289734,0.42638805508613586,0.2534856110341809,0.8909156918525696,0.635868489742279,0.695344996389316,0.9283664226531982,0.77191162109375,-0.35070657108188236,0.7436315417289734,0.42638805508613586,0.3118035352884237,0.9036162495613098,0.6695470213890076,0.7735784092919109,0.9313621520996094,0.792553186416626,-0.284222014106256,0.8174746036529541,0.4526594579219818,0.30472542514813494,0.9024112820625305,0.6637265086174011,0.7922476250602045,0.9313000440597534,0.7820236682891846,-0.2915583003948872,0.813582718372345,0.4465104937553406,-0.15350587397769883,0.7308639883995056,0.31683969497680664,0.031263319140116166,0.7923657894134521,0.49626052379608154,-0.4113896577258587,0.6719305515289307,0.2065819799900055
H16,0.20254906135797143,0.8861725926399231,0.5867133140563965,0.6670693464452366,0.9290710091590881,0.7567752599716187,-0.21195089053236152,0.705991804599762,0.3659309148788452,0.20254906135797143,0.8861725926399231,0.5867133140563965,0.6670693464452366,0.9290710091590881,0.7567752599716187,-0.21195089053236152,0.705991804599762,0.3659309148788452,0.32055688805732996,0.9027476906776428,0.6359166502952576,0.7447472372307814,0.9384676218032837,0.7755245566368103,-0.2859159160295801,0.7873321771621704,0.3975621461868286,0.3156532134649659,0.9022504091262817,0.6336714625358582,0.7694531422978603,0.9367740750312805,0.777957558631897,-0.32483622941619605,0.7812458276748657,0.42459094524383545,-0.20470206668717855,0.6976442337036133,0.23141884803771973,-0.057686618403782294,0.7462376952171326,0.4292920231819153,-0.34571338439877375,0.6022350192070007,0.11779280751943588
H17,0.1873591649973059,0.892338752746582,0.6043233871459961,0.673506045501896,0.9368263483047485,0.8188369274139404,-0.2583643321284045,0.585236132144928,0.2829706370830536,0.1873591649973059,0.892338752746582,0.6043233871459961,0.673506045501896,0.9368263483047485,0.8188369274139404,-0.2583643321284045,0.585236132144928,0.2829706370830536,0.23349005825972508,0.9012314081192017,0.6248207092285156,0.7244615057469482,0.9336676597595215,0.7913916707038879,-0.3734016672537976,0.7599573731422424,0.34908875823020935,0.22582005721222706,0.9003185033798218,0.6166892647743225,0.7451635066401544,0.9322353005409241,0.7765039801597595,-0.38709588271752005,0.7547779083251953,0.34056755900382996,-0.22271527278983833,0.6935806274414062,0.25341907143592834,0.0459239852728304,0.7565326690673828,0.45256736874580383,-0.4318585064118042,0.5615506768226624,0.09886789321899414
H18,0.1494475456469684,0.8946009278297424,0.6206513047218323,0.5968360775179409,0.9345155954360962,0.793919026851654,-0.21677411510139286,0.7681698203086853,0.3776353597640991,0.1494475456469684,0.8946009278297424,0.6206513047218323,0.5968360775179409,0.9345155954360962,0.793919026851654,-0.21677411510139286,0.7681698203086853,0.3776353597640991,0.17167262301105743,0.8996812701225281,0.6362200975418091,0.7643082072317456,0.9340018630027771,0.7817057967185974,-0.2966977198813823,0.7698930501937866,0.39955246448516846,0.1610093616669004,0.8984217047691345,0.6285027861595154,0.7885819823943484,0.9341021180152893,0.7784371972084045,-0.3294979044922112,0.7660599946975708,0.40386658906936646,-0.1994925292973163,0.704617977142334,0.26233384013175964,0.17917342711980996,0.8440486192703247,0.5332123041152954,-0.38295923806608023,0.6276074051856995,0.08652260154485703
H19,0.22391527142768716,0.8831911087036133,0.583595871925354,0.5890345595685663,0.9208368062973022,0.7452541589736938,-0.16269967087194798,0.8090826272964478,0.3727966547012329,0.22391527142768716,0.8831911087036133,0.583595871925354,0.5890345595685663,0.9208368062973022,0.7452541589736938,-0.16269967087194798,0.8090826272964478,0.3727966547012329,0.38265089054693213,0.9080133438110352,0.6726726293563843,0.7578490254601233,0.933630645275116,0.7886312007904053,0.01431951235428184,0.8365204930305481,0.5117661952972412,0.3788859510233119,0.9069587588310242,0.6716181635856628,0.7818486888469048,0.9355466365814209,0.7906330227851868,-0.01713537005023264,0.8313722014427185,0.516970694065094,-0.0812822118751063,0.7617819905281067,0.33255869150161743,0.34810753998777394,0.8337581753730774,0.4496642053127289,-0.17865659006448348,0.673090398311615,0.24993614852428436
